,user_id,num_revs,nationality,group,age
0,2204119,1,Spain,,
1,3765998,1,Northern Ireland,,
2,2384221,1,Canada,,
3,2378241,1,Brazil,,
4,1285791,2,Australia,,
5,2558799,1,Mexico,,
6,3520243,1,USA,,
7,2269986,4,Australia,,
8,3957127,1,Hungary,,
9,1622232,1,Ireland,,
10,3124923,1,USA,,
11,4320459,1,Denmark,,
12,3864486,3,Canada,,
13,4961471,1,USA,,
14,1527171,1,Australia,,
15,4538633,1,Scotland,,
16,1189474,2,England,,
17,1595059,2,Hong Kong,,
18,3637809,1,Australia,Male,31-40
19,3835945,1,England,,
20,1742493,1,USA,,
21,3461306,3,Canada,,
22,3656651,1,England,,
23,3298399,4,Wales,Male,41+
24,4689406,1,Spain,,
25,2654918,14,Australia,,
26,1892703,2,Malta,Male,25-30
27,3986679,1,USA,Female,25-30
28,2899312,1,Brunei,,
29,4451133,2,Spain,Mixed Group,31-40
30,4995137,1,USA,,
31,2702720,1,France,,
32,2355196,4,USA,Male,25-30
33,4579770,3,Netherlands,Male,41+
34,1721868,1,Canada,,
35,1709669,1,USA,,
36,2369857,1,Italy,,
37,2857241,1,Canada,,
38,3395644,1,USA,,
39,2945376,1,France,,
40,1097162,2,New Zealand,,
41,4831612,3,Australia,Female,25-30
42,2746226,1,Italy,,
43,3784926,2,Greece,Male,25-30
44,4572822,1,USA,,
45,3311845,1,USA,,
46,3213069,2,England,,
47,3630431,12,Ireland,,
48,1755206,1,Malaysia,,
49,2841815,1,England,,
50,4929738,1,Japan,,
51,3151081,2,USA,,
52,3243188,2,Germany,Mixed Group,31-40
53,1102111,1,USA,,
54,3005780,1,USA,,
55,2124926,2,Spain,Male,31-40
56,3238316,1,USA,,
57,3334761,1,Germany,SOLO,THIRTYONETOFOURTY
58,4693321,5,Hong Kong,Male,31-40
59,4879785,3,Hong Kong,,
60,3883738,1,New Zealand,,
61,2333488,2,Australia,,
62,4810042,1,Norway,,
63,1751982,1,USA,,
64,2566174,2,Uruguay,Female,41+
65,2084775,3,Australia,,
66,3014067,1,USA,,
67,3418075,1,South Korea,,
68,2841635,2,England,Female,25-30
69,4467230,1,Germany,,
70,3799989,8,England,Couple,31-40
71,4586787,1,USA,,
72,1593217,1,Hong Kong,,
73,2540933,1,Ireland,,
74,3226370,1,England,Male,25-30
75,2962957,19,Malaysia,Couple,31-40
76,4309662,3,Ukraine,,
77,2872997,1,USA,,
78,4725965,2,Spain,,
79,2962638,1,USA,,
80,1088065,1,USA,,
81,2421354,1,France,,
82,4366838,1,USA,,
83,2240289,2,England,Female,25-30
84,2682811,1,USA,,
85,1379541,6,Australia,,
86,1986006,1,USA,,
87,3085189,1,USA,,
88,4031166,2,Australia,,
89,2869049,1,China,,
90,2784672,2,USA,,
91,4302989,3,USA,,
92,4847639,1,Denmark,,
93,3887412,1,Ireland,,
94,3156004,1,England,,
95,1658982,1,Germany,,
96,3658063,1,Australia,Female,25-30
97,4498926,1,USA,,
98,2095695,1,Canada,,
99,3352179,2,Australia,,
100,4162075,1,Netherlands,,
101,2994378,3,England,Male,31-40
102,4736261,1,Portugal,,
103,1465559,1,Australia,,
104,3378079,1,USA,Female,25-30
105,2755253,1,Czech Republic,,
106,4392719,1,New Zealand,,
107,2794559,1,USA,,
108,3315484,1,USA,,
109,2172481,12,USA,,
110,4373920,1,Canada,,
111,1573037,1,Bangladesh,,
112,3733313,1,Sweden,,
113,4669199,14,USA,,
114,3506029,1,Spain,,
115,3122792,1,Canada,,
116,4099927,1,France,,
117,4140026,1,Canada,,
118,2800232,3,Singapore,,
119,3594037,1,Taiwan,,
120,4237383,2,Argentina,,
121,2954026,1,USA,,
122,3734285,2,Peru,,
123,3860233,1,England,,
124,3328328,1,USA,,
125,4754467,1,Spain,,
126,1716844,1,American Samoa,,
127,4979423,1,USA,,
128,1483865,1,Australia,,
129,1881016,1,Netherlands,,
130,3082884,1,USA,,
131,2782011,7,Mexico,Couple,25-30
132,2594181,1,Canada,,
133,2024123,1,USA,,
134,4863316,1,Croatia,,
135,3876150,2,Germany,,
136,4292244,5,England,Male,25-30
137,3319407,2,Australia,,
138,2634274,1,USA,,
139,4564123,1,USA,,
140,4501636,5,USA,SOLO,THIRTYONETOFOURTY
141,4995420,1,Australia,,
142,4268821,1,England,,
143,3902182,2,Australia,,
144,2704501,2,USA,,
145,2983676,1,Colombia,,
146,4074739,1,England,,
147,3406838,8,Hong Kong,Female,31-40
148,3969386,1,Italy,,
149,4745797,1,Germany,Couple,25-30
150,1609858,1,USA,,
151,4421760,1,England,,
152,4225156,1,Spain,Female,18-24
153,3155276,1,Netherlands,,
154,1004454,1,Canada,,
155,3756291,1,Poland,,
156,4541662,1,USA,,
157,4823109,2,Malaysia,Male,31-40
158,4870404,1,USA,,
159,1247650,6,England,,
160,4054159,1,USA,,
161,4856666,1,Australia,,
162,2964488,2,USA,,
163,2863079,1,Taiwan,,
164,2520147,1,Australia,,
165,2871912,3,Canada,,
166,1763758,2,Ireland,,
167,2750584,1,Brazil,,
168,3112654,1,England,,
169,2800423,1,France,,
170,4448488,1,Australia,,
171,2866615,3,Hong Kong,Female,25-30
172,1516754,1,England,,
173,1492648,2,USA,SOLO,FOURTYONEPLUS
174,2775674,2,Germany,,
175,1648314,1,USA,,
176,2208939,1,Canada,,
177,1596679,1,Australia,,
178,4283001,12,Italy,Male,25-30
179,2248051,1,England,,
180,2008180,1,USA,,
181,2529278,4,Finland,,
182,2908752,1,Poland,,
183,2383637,1,Chile,,
184,4055366,1,Ireland,,
185,2936193,1,Taiwan,,
186,2671188,2,Canada,Couple,25-30
187,3771679,1,USA,,
188,2999088,6,Canada,,
189,1600202,2,New Zealand,,
190,3718769,4,Germany,Mixed Group,18-24
191,4032426,1,Australia,,
192,4150341,1,England,,
193,2980787,2,South Africa,,
194,4066204,3,Brazil,,
195,4251369,1,USA,,
196,1188816,1,Germany,,
197,4042893,1,Norway,,
198,2237574,1,USA,,
199,2169854,1,Mexico,,
200,3931954,1,Malaysia,,
201,2912458,2,Finland,,
202,4978960,4,Canada,,
203,1651754,1,Italy,,
204,4749460,1,USA,,
205,3973186,2,France,,
206,1019095,1,Canada,,
207,4326232,1,Canada,,
208,2266676,1,USA,,
209,4032709,2,Spain,,
210,4723940,1,USA,,
211,2939856,6,USA,,
212,3949794,2,Australia,,
213,1440919,1,USA,,
214,3486844,1,USA,,
215,2802563,1,USA,,
216,3356609,2,Germany,Female,31-40
217,1570327,2,Spain,,
218,3142135,1,Wales,,
219,2641109,1,England,,
220,3874508,1,Iraq,,
221,4564542,6,Australia,Mixed Group,25-30
222,2898520,1,Hungary,,
223,2441392,1,Italy,,
224,4605168,1,Norway,,
225,1460017,1,Chile,,
226,2122522,1,France,,
227,2099132,1,Ireland,,
228,2803944,1,England,,
229,2395029,2,USA,,
230,4497434,1,USA,,
231,4004817,1,Hong Kong,,
232,2173814,1,Australia,,
233,3992047,2,USA,,
234,2994641,2,USA,,
235,4448688,1,India,,
236,4705856,1,Finland,,
237,3536660,3,Iceland,,
238,4872164,1,England,,
239,3819643,1,USA,,
240,2152328,1,France,Male,31-40
241,1397437,1,USA,,
