,Unnamed: 0.1,user_id,num_revs,nationality,group,age
0,101,1189474,2,England,,not specified
1,102,1595059,2,Hong Kong,,not specified
2,103,3637809,1,Australia,Male,31-40
3,104,3835945,1,England,,not specified
4,106,3461306,3,Canada,,not specified
5,108,3298399,4,Wales,Male,41+
6,109,4689406,1,Spain,,not specified
7,110,2654918,14,Australia,,not specified
8,111,1892703,2,Malta,Male,25-30
9,112,3986679,1,USA,Female,25-30
10,113,2899312,1,Brunei,,not specified
11,114,4451133,2,Spain,Mixed Group,31-40
12,116,2702720,1,France,,not specified
13,117,2355196,4,USA,Male,25-30
14,118,4579770,3,Netherlands,Male,41+
15,119,1721868,1,Canada,,not specified
16,120,1709669,1,USA,,not specified
17,121,2369857,1,Italy,,not specified
18,122,2857241,1,Canada,,not specified
19,123,3395644,1,USA,,not specified
20,124,2945376,1,France,,not specified
21,126,4831612,3,Australia,Female,25-30
22,128,3784926,2,Greece,Male,25-30
23,129,4572822,1,USA,,not specified
24,131,3213069,2,England,,not specified
25,132,3630431,12,Ireland,,not specified
26,133,1755206,1,Malaysia,,not specified
27,198,4669199,14,USA,,not specified
28,200,3122792,1,Canada,,not specified
29,202,4140026,1,Canada,,not specified
30,203,2800232,3,Singapore,,not specified
31,204,3594037,1,Taiwan,,not specified
32,205,4237383,2,Argentina,,not specified
33,206,2954026,1,USA,,not specified
34,207,3734285,2,Peru,,not specified
35,209,3328328,1,USA,,not specified
36,210,4754467,1,Spain,,not specified
37,212,4979423,1,USA,,not specified
38,214,1881016,1,Netherlands,,not specified
39,215,3082884,1,USA,,not specified
40,216,2782011,7,Mexico,Couple,25-30
41,217,2594181,1,Canada,,not specified
42,218,2024123,1,USA,,not specified
43,219,4863316,1,Croatia,,not specified
44,220,3876150,2,Germany,,not specified
45,221,4292244,5,England,Male,25-30
46,222,3319407,2,Australia,,not specified
47,223,2634274,1,USA,,not specified
48,224,4564123,1,USA,,not specified
49,225,4501636,5,USA,SOLO,31-40
50,226,4995420,1,Australia,,not specified
51,227,4268821,1,England,,not specified
52,228,3902182,2,Australia,,not specified
53,229,2704501,2,USA,,not specified
54,230,2983676,1,Colombia,,not specified
55,231,4074739,1,England,,not specified
56,232,3406838,8,Hong Kong,Female,31-40
57,239,1004454,1,Canada,,not specified
58,241,4541662,1,USA,,not specified
59,243,4870404,1,USA,,not specified
60,244,1247650,6,England,,not specified
61,246,4856666,1,Australia,,not specified
62,247,2964488,2,USA,,not specified
63,250,2871912,3,Canada,,not specified
64,251,1763758,2,Ireland,,not specified
65,252,2750584,1,Brazil,,not specified
66,253,3112654,1,England,,not specified
67,255,4448488,1,Australia,,not specified
68,256,2866615,3,Hong Kong,Female,25-30
69,258,1492648,2,USA,SOLO,41+
70,259,2775674,2,Germany,,not specified
71,260,1648314,1,USA,,not specified
72,261,2208939,1,Canada,,not specified
73,263,4283001,12,Italy,Male,25-30
74,265,2008180,1,USA,,not specified
75,266,2529278,4,Finland,,not specified
76,269,4055366,1,Ireland,,not specified
77,271,2671188,2,Canada,Couple,25-30
78,272,3771679,1,USA,,not specified
79,273,2999088,6,Canada,,not specified
80,274,1600202,2,New Zealand,,not specified
81,275,3718769,4,Germany,Mixed Group,18-24
82,276,4032426,1,Australia,,not specified
83,277,4150341,1,England,,not specified
84,278,2980787,2,South Africa,,not specified
85,279,4066204,3,Brazil,,not specified
86,281,1188816,1,Germany,,not specified
87,285,3931954,1,Malaysia,,not specified
88,286,2912458,2,Finland,,not specified
89,287,4978960,4,Canada,,not specified
90,290,3973186,2,France,,not specified
91,294,4032709,2,Spain,,not specified
92,295,4723940,1,USA,,not specified
93,296,2939856,6,USA,,not specified
94,297,3949794,2,Australia,,not specified
95,298,1440919,1,USA,,not specified
96,299,3486844,1,USA,,not specified
97,300,2802563,1,USA,,not specified
98,301,3356609,2,Germany,Female,31-40
99,305,3874508,1,Iraq,,not specified
100,306,4564542,6,Australia,Mixed Group,25-30
101,307,2898520,1,Hungary,,not specified
102,308,2441392,1,Italy,,not specified
103,309,4605168,1,Norway,,not specified
104,312,2099132,1,Ireland,,not specified
105,314,2395029,2,USA,,not specified
106,317,2173814,1,Australia,,not specified
107,318,3992047,2,USA,,not specified
108,320,4448688,1,India,,not specified
109,321,4705856,1,Finland,,not specified
110,325,2152328,1,France,Male,31-40
111,326,1397437,1,USA,,not specified
112,327,4222767,2,Belgium,INALLFEMALEGROUP,31-40
113,330,1678670,1,USA,,not specified
114,333,4474538,2,England,,not specified
115,335,4050308,2,Australia,,not specified
116,336,4514830,3,Belgium,Female,41+
117,337,3858293,1,England,,not specified
118,338,4555927,1,England,,not specified
119,339,2701462,1,Japan,,not specified
120,340,3365980,1,USA,,not specified
121,341,3851597,1,China,,not specified
122,342,4207197,1,Netherlands,,not specified
123,344,2937612,5,Hong Kong,,not specified
124,345,4410257,1,USA,,not specified
125,347,4063025,2,India,,not specified
126,350,3699300,9,Spain,Male,25-30
127,351,1650130,1,Netherlands,,not specified
128,352,4106206,9,Lithuania,,not specified
129,353,3145038,2,Denmark,,not specified
130,355,3902823,9,Australia,,not specified
131,360,1593084,1,Netherlands,,not specified
132,362,4841689,2,Italy,,not specified
133,364,4049397,2,USA,,not specified
134,366,3390296,1,Canada,,not specified
135,367,3731890,4,USA,,not specified
136,368,3179488,1,USA,,not specified
137,370,2875493,2,Sweden,,not specified
138,371,2136853,1,England,,not specified
139,372,2841539,2,USA,,not specified
140,374,3397602,1,Australia,Female,25-30
141,376,3375363,5,Germany,INALLFEMALEGROUP,not specified
142,378,2211562,2,Germany,Male,41+
143,379,4578324,1,Ireland,Female,31-40
144,383,2504398,2,Brazil,,not specified
145,384,3649773,1,USA,,not specified
146,385,4722655,2,Czech Republic,,not specified
147,387,1154992,1,Slovenia,,not specified
