,Unnamed: 0.1,user_id,num_revs,nationality,group,age
0,101,1189474,2,England,,not specified
1,102,1595059,2,Hong Kong,,not specified
2,103,3637809,1,Australia,Male,31-40
3,104,3835945,1,England,,not specified
4,106,3461306,3,Canada,,not specified
5,108,3298399,4,Wales,Male,41+
6,109,4689406,1,Spain,,not specified
7,110,2654918,14,Australia,,not specified
8,111,1892703,2,Malta,Male,25-30
9,112,3986679,1,USA,Female,25-30
10,113,2899312,1,Brunei,,not specified
11,114,4451133,2,Spain,Mixed Group,31-40
12,115,4995137,1,USA,,not specified
13,116,2702720,1,France,,not specified
14,117,2355196,4,USA,Male,25-30
15,118,4579770,3,Netherlands,Male,41+
16,119,1721868,1,Canada,,not specified
17,120,1709669,1,USA,,not specified
18,121,2369857,1,Italy,,not specified
19,122,2857241,1,Canada,,not specified
20,123,3395644,1,USA,,not specified
21,124,2945376,1,France,,not specified
22,126,4831612,3,Australia,Female,25-30
23,128,3784926,2,Greece,Male,25-30
24,129,4572822,1,USA,,not specified
25,130,3311845,1,USA,,not specified
26,131,3213069,2,England,,not specified
27,132,3630431,12,Ireland,,not specified
28,133,1755206,1,Malaysia,,not specified
29,198,4669199,14,USA,,not specified
30,200,3122792,1,Canada,,not specified
31,202,4140026,1,Canada,,not specified
32,203,2800232,3,Singapore,,not specified
33,204,3594037,1,Taiwan,,not specified
34,205,4237383,2,Argentina,,not specified
35,206,2954026,1,USA,,not specified
36,207,3734285,2,Peru,,not specified
37,209,3328328,1,USA,,not specified
38,210,4754467,1,Spain,,not specified
39,212,4979423,1,USA,,not specified
40,213,1483865,1,Australia,,not specified
41,214,1881016,1,Netherlands,,not specified
42,215,3082884,1,USA,,not specified
43,216,2782011,7,Mexico,Couple,25-30
44,217,2594181,1,Canada,,not specified
45,218,2024123,1,USA,,not specified
46,219,4863316,1,Croatia,,not specified
47,220,3876150,2,Germany,,not specified
48,221,4292244,5,England,Male,25-30
49,222,3319407,2,Australia,,not specified
50,223,2634274,1,USA,,not specified
51,224,4564123,1,USA,,not specified
52,225,4501636,5,USA,SOLO,31-40
53,226,4995420,1,Australia,,not specified
54,227,4268821,1,England,,not specified
55,228,3902182,2,Australia,,not specified
56,229,2704501,2,USA,,not specified
57,230,2983676,1,Colombia,,not specified
58,231,4074739,1,England,,not specified
59,232,3406838,8,Hong Kong,Female,31-40
60,239,1004454,1,Canada,,not specified
61,241,4541662,1,USA,,not specified
62,243,4870404,1,USA,,not specified
63,244,1247650,6,England,,not specified
64,246,4856666,1,Australia,,not specified
65,247,2964488,2,USA,,not specified
66,250,2871912,3,Canada,,not specified
67,251,1763758,2,Ireland,,not specified
68,252,2750584,1,Brazil,,not specified
69,253,3112654,1,England,,not specified
70,255,4448488,1,Australia,,not specified
71,256,2866615,3,Hong Kong,Female,25-30
72,258,1492648,2,USA,SOLO,41+
73,259,2775674,2,Germany,,not specified
74,260,1648314,1,USA,,not specified
75,261,2208939,1,Canada,,not specified
76,263,4283001,12,Italy,Male,25-30
77,265,2008180,1,USA,,not specified
78,266,2529278,4,Finland,,not specified
79,269,4055366,1,Ireland,,not specified
80,271,2671188,2,Canada,Couple,25-30
81,272,3771679,1,USA,,not specified
82,273,2999088,6,Canada,,not specified
83,274,1600202,2,New Zealand,,not specified
84,275,3718769,4,Germany,Mixed Group,18-24
85,276,4032426,1,Australia,,not specified
86,277,4150341,1,England,,not specified
87,278,2980787,2,South Africa,,not specified
88,279,4066204,3,Brazil,,not specified
89,281,1188816,1,Germany,,not specified
90,285,3931954,1,Malaysia,,not specified
91,286,2912458,2,Finland,,not specified
92,287,4978960,4,Canada,,not specified
93,290,3973186,2,France,,not specified
94,294,4032709,2,Spain,,not specified
95,295,4723940,1,USA,,not specified
96,296,2939856,6,USA,,not specified
97,297,3949794,2,Australia,,not specified
98,298,1440919,1,USA,,not specified
99,299,3486844,1,USA,,not specified
100,300,2802563,1,USA,,not specified
101,301,3356609,2,Germany,Female,31-40
102,305,3874508,1,Iraq,,not specified
103,306,4564542,6,Australia,Mixed Group,25-30
104,307,2898520,1,Hungary,,not specified
105,308,2441392,1,Italy,,not specified
106,309,4605168,1,Norway,,not specified
107,312,2099132,1,Ireland,,not specified
108,314,2395029,2,USA,,not specified
109,317,2173814,1,Australia,,not specified
110,318,3992047,2,USA,,not specified
111,320,4448688,1,India,,not specified
112,321,4705856,1,Finland,,not specified
113,325,2152328,1,France,Male,31-40
114,326,1397437,1,USA,,not specified
115,327,4222767,2,Belgium,INALLFEMALEGROUP,31-40
116,330,1678670,1,USA,,not specified
117,333,4474538,2,England,,not specified
118,335,4050308,2,Australia,,not specified
119,336,4514830,3,Belgium,Female,41+
120,337,3858293,1,England,,not specified
121,338,4555927,1,England,,not specified
122,339,2701462,1,Japan,,not specified
123,340,3365980,1,USA,,not specified
124,341,3851597,1,China,,not specified
125,342,4207197,1,Netherlands,,not specified
126,344,2937612,5,Hong Kong,,not specified
127,345,4410257,1,USA,,not specified
128,347,4063025,2,India,,not specified
129,350,3699300,9,Spain,Male,25-30
130,351,1650130,1,Netherlands,,not specified
131,352,4106206,9,Lithuania,,not specified
132,353,3145038,2,Denmark,,not specified
133,355,3902823,9,Australia,,not specified
134,356,3743677,1,Sweden,,not specified
135,360,1593084,1,Netherlands,,not specified
136,362,4841689,2,Italy,,not specified
137,364,4049397,2,USA,,not specified
138,366,3390296,1,Canada,,not specified
139,367,3731890,4,USA,,not specified
140,368,3179488,1,USA,,not specified
141,370,2875493,2,Sweden,,not specified
142,371,2136853,1,England,,not specified
143,372,2841539,2,USA,,not specified
144,374,3397602,1,Australia,Female,25-30
145,376,3375363,5,Germany,INALLFEMALEGROUP,not specified
146,378,2211562,2,Germany,Male,41+
147,379,4578324,1,Ireland,Female,31-40
