,user_id,num_revs,nationality,group,age,country_id
0,1189474,2,England,,not specified,0
1,1595059,2,Hong Kong,,not specified,1
2,3637809,1,Australia,Male,31-40,2
3,3835945,1,England,,not specified,0
4,3461306,3,Canada,,not specified,3
5,3298399,4,Wales,Male,41+,4
6,4689406,1,Spain,,not specified,5
7,2654918,14,Australia,,not specified,2
8,1892703,2,Malta,Male,25-30,6
9,3986679,1,USA,Female,25-30,7
10,2899312,1,Brunei,,not specified,8
11,4451133,2,Spain,Mixed Group,31-40,5
12,2702720,1,France,,not specified,9
13,2355196,4,USA,Male,25-30,7
14,4579770,3,Netherlands,Male,41+,10
15,1721868,1,Canada,,not specified,3
16,1709669,1,USA,,not specified,7
17,2369857,1,Italy,,not specified,11
18,2857241,1,Canada,,not specified,3
19,3395644,1,USA,,not specified,7
20,2945376,1,France,,not specified,9
21,4831612,3,Australia,Female,25-30,2
22,3784926,2,Greece,Male,25-30,12
23,4572822,1,USA,,not specified,7
24,3213069,2,England,,not specified,0
25,3630431,12,Ireland,,not specified,13
26,1755206,1,Malaysia,,not specified,14
27,4669199,14,USA,,not specified,7
28,3122792,1,Canada,,not specified,3
29,4140026,1,Canada,,not specified,3
30,2800232,3,Singapore,,not specified,15
31,3594037,1,Taiwan,,not specified,16
32,4237383,2,Argentina,,not specified,17
33,2954026,1,USA,,not specified,7
34,3734285,2,Peru,,not specified,18
35,3328328,1,USA,,not specified,7
36,4754467,1,Spain,,not specified,5
37,4979423,1,USA,,not specified,7
38,1881016,1,Netherlands,,not specified,10
39,3082884,1,USA,,not specified,7
40,2782011,7,Mexico,Couple,25-30,19
41,2594181,1,Canada,,not specified,3
42,2024123,1,USA,,not specified,7
43,4863316,1,Croatia,,not specified,20
44,3876150,2,Germany,,not specified,21
45,4292244,5,England,Male,25-30,0
46,3319407,2,Australia,,not specified,2
47,2634274,1,USA,,not specified,7
48,4564123,1,USA,,not specified,7
49,4501636,5,USA,SOLO,31-40,7
50,4995420,1,Australia,,not specified,2
51,4268821,1,England,,not specified,0
52,3902182,2,Australia,,not specified,2
53,2704501,2,USA,,not specified,7
54,2983676,1,Colombia,,not specified,22
55,4074739,1,England,,not specified,0
56,3406838,8,Hong Kong,Female,31-40,1
57,1004454,1,Canada,,not specified,3
58,4541662,1,USA,,not specified,7
59,4870404,1,USA,,not specified,7
60,1247650,6,England,,not specified,0
61,4856666,1,Australia,,not specified,2
62,2964488,2,USA,,not specified,7
63,2871912,3,Canada,,not specified,3
64,1763758,2,Ireland,,not specified,13
65,2750584,1,Brazil,,not specified,23
66,3112654,1,England,,not specified,0
67,4448488,1,Australia,,not specified,2
68,2866615,3,Hong Kong,Female,25-30,1
69,1492648,2,USA,SOLO,41+,7
70,2775674,2,Germany,,not specified,21
71,1648314,1,USA,,not specified,7
72,2208939,1,Canada,,not specified,3
73,4283001,12,Italy,Male,25-30,11
74,2008180,1,USA,,not specified,7
75,2529278,4,Finland,,not specified,24
76,4055366,1,Ireland,,not specified,13
77,2671188,2,Canada,Couple,25-30,3
78,3771679,1,USA,,not specified,7
79,2999088,6,Canada,,not specified,3
80,1600202,2,New Zealand,,not specified,25
81,3718769,4,Germany,Mixed Group,18-24,21
82,4032426,1,Australia,,not specified,2
83,4150341,1,England,,not specified,0
84,2980787,2,South Africa,,not specified,26
85,4066204,3,Brazil,,not specified,23
86,1188816,1,Germany,,not specified,21
87,3931954,1,Malaysia,,not specified,14
88,2912458,2,Finland,,not specified,24
89,4978960,4,Canada,,not specified,3
90,3973186,2,France,,not specified,9
91,4032709,2,Spain,,not specified,5
92,4723940,1,USA,,not specified,7
93,2939856,6,USA,,not specified,7
94,3949794,2,Australia,,not specified,2
95,1440919,1,USA,,not specified,7
96,3486844,1,USA,,not specified,7
97,2802563,1,USA,,not specified,7
98,3356609,2,Germany,Female,31-40,21
99,3874508,1,Iraq,,not specified,27
100,4564542,6,Australia,Mixed Group,25-30,2
101,2898520,1,Hungary,,not specified,28
102,2441392,1,Italy,,not specified,11
103,4605168,1,Norway,,not specified,29
104,2099132,1,Ireland,,not specified,13
105,2395029,2,USA,,not specified,7
106,2173814,1,Australia,,not specified,2
107,3992047,2,USA,,not specified,7
108,4448688,1,India,,not specified,30
109,4705856,1,Finland,,not specified,24
110,2152328,1,France,Male,31-40,9
111,1397437,1,USA,,not specified,7
112,4222767,2,Belgium,INALLFEMALEGROUP,31-40,31
113,1678670,1,USA,,not specified,7
114,4474538,2,England,,not specified,0
115,4050308,2,Australia,,not specified,2
116,4514830,3,Belgium,Female,41+,31
117,3858293,1,England,,not specified,0
118,4555927,1,England,,not specified,0
119,2701462,1,Japan,,not specified,32
120,3365980,1,USA,,not specified,7
121,3851597,1,China,,not specified,33
122,4207197,1,Netherlands,,not specified,10
123,2937612,5,Hong Kong,,not specified,1
124,4410257,1,USA,,not specified,7
125,4063025,2,India,,not specified,30
126,3699300,9,Spain,Male,25-30,5
127,1650130,1,Netherlands,,not specified,10
128,4106206,9,Lithuania,,not specified,34
129,3145038,2,Denmark,,not specified,35
130,3902823,9,Australia,,not specified,2
131,1593084,1,Netherlands,,not specified,10
132,4841689,2,Italy,,not specified,11
133,4049397,2,USA,,not specified,7
134,3390296,1,Canada,,not specified,3
135,3731890,4,USA,,not specified,7
136,3179488,1,USA,,not specified,7
137,2875493,2,Sweden,,not specified,36
138,2136853,1,England,,not specified,0
139,2841539,2,USA,,not specified,7
140,3397602,1,Australia,Female,25-30,2
141,3375363,5,Germany,INALLFEMALEGROUP,not specified,21
142,2211562,2,Germany,Male,41+,21
143,4578324,1,Ireland,Female,31-40,13
144,2504398,2,Brazil,,not specified,23
145,3649773,1,USA,,not specified,7
146,4722655,2,Czech Republic,,not specified,37
147,1154992,1,Slovenia,,not specified,38
148,1156696,2,USA,,not specified,7
149,3122368,6,Netherlands,,not specified,10
150,2345416,1,France,,not specified,9
151,2379402,1,Switzerland,,not specified,39
