,hostel,hostel_info,link
0,Fortuna Botel,"[<5, Awards:0, Hungary, Budapest, Linen Included, Free City Maps, Towels Included, Free WiFi, Free Internet Access , Breakfast Not Included, Air Conditioning, Outdoor Terrace, Parking, Safe Deposit Box, Airport Transfers, Bicycle Hire, Luggage Storage, 24 Hour Reception, Tours/Travel Desk, Housekeeping, Restaurant, Meals Available, Wi-Fi, , H_t2]",http://www.hostelworld.com/hosteldetails.php/Fortuna-Botel/Budapest/674
1,Equity Point Sea,"[7-8.5, Awards:0, Spain, Barcelona, Free Breakfast, Free Internet Access , Wheelchair Friendly, Security Lockers, Common Room, Elevator, Air Conditioning, Reading Light, Card Phones, Luggage Storage, 24 Hour Reception, Tours/Travel Desk, Late check-out, Reception (limited hours), Restaurant, Bar, Games Room, Age Restriction, Credit Cards Accepted, No Curfew, Taxes Not Included, H_t10]",http://www.hostelworld.com/hosteldetails.php/Equity-Point-Sea/Barcelona/1717
2,The Naughty Squirrel Backpackers Hostel,"[>8.5, Awards:16, Latvia, Riga, Linen Included, Free City Maps, Towels Included, Free WiFi, Free Internet Access , Security Lockers, Key Card Access, Common Room, Adaptors, Book Exchange, Hot Showers, Self-Catering Facilities, Hair Dryers, Safe Deposit Box, Steam Room, Internet Access, Laundry Facilities, Luggage Storage, 24 Hour Reception, Tours/Travel Desk, Postal Service, 24 Hour Security, Bar, Tea & Coffee Making Facilities, DVD's, Board Games, Foosball, Credit Cards Accepted, No Curfew, Non Smoking, Taxes Included, H_t6]",http://www.hostelworld.com/hosteldetails.php/The-Naughty-Squirrel-Backpackers-Hostel/Riga/5932
3,La Chimba Hostel,"[7-8.5, Awards:3, Chile, Santiago, Free Breakfast, Linen Included, Free City Maps, Towels Included, Free WiFi, Free Internet Access , Security Lockers, Common Room, Bicycle Parking, BBQ, Meeting Rooms, Book Exchange, Hot Showers, Self-Catering Facilities, Cable TV, Outdoor Terrace, Hair Dryers For Hire, Parking, Steam Room, Internet Access, Laundry Facilities, Airport Transfers, Bicycle Hire, Towels for hire, Luggage Storage, 24 Hour Reception, Tours/Travel Desk, 24 Hour Security, Tea & Coffee Making Facilities, DVD's, Board Games, Pool Table, Foosball, Credit Cards Accepted, No Curfew, Non Smoking, H_t9]",http://www.hostelworld.com/hosteldetails.php/La-Chimba-Hostel/Santiago/11743
4,Barcelona 4 Fun Hostel,"[5-7, Awards:0, Spain, Barcelona, Linen Included, Free City Maps, Free Internet Access , Security Lockers, Common Room, Breakfast Not Included, Hot Showers, Self-Catering Facilities, Hair Dryers, Ceiling Fan, Washing Machine, Internet Access, Laundry Facilities, Bicycle Hire, Towels for hire, Luggage Storage, 24 Hour Reception, Tours/Travel Desk, 24 Hour Security, Mini-Supermarket, Cafe, Tea & Coffee Making Facilities, , H_t6]",http://www.hostelworld.com/hosteldetails.php/Barcelona-4-Fun-Hostel/Barcelona/12589
5,Bed & Bike Barcelona,"[>8.5, Awards:0, Spain, Barcelona, Linen Included, Free WiFi, Free Internet Access , Wheelchair Friendly, Security Lockers, Key Card Access, Common Room, Bicycle Parking, Breakfast Not Included, Air Conditioning, Meeting Rooms, Adaptors, Book Exchange, Hot Showers, Self-Catering Facilities, Cable TV, Hair Dryers, Internet Access, Laundry Facilities, Bicycle Hire, Towels for hire, Luggage Storage, 24 Hour Reception, Tours/Travel Desk, Shuttle Bus, 24 Hour Security, Housekeeping, Vending Machines, Tea & Coffee Making Facilities, Credit Cards Accepted, H_t9]",http://www.hostelworld.com/hosteldetails.php/Bed-and-Bike-Barcelona/Barcelona/87846
6,B&B Giovy,"[<5, Awards:0, Italy, Rome, Free Breakfast, Free City Maps, Towels Included, Free WiFi, Free Internet Access , Security Lockers, Elevator, Air Conditioning, Book Exchange, Hot Showers, Cots Available, Cable TV, Outdoor Terrace, Hair Dryers, Safe Deposit Box, Internet Access, Laundry Facilities, Airport Transfers, Luggage Storage, Fax Service, Currency Exchange, 24 Hour Security, Housekeeping, Tea & Coffee Making Facilities, Minibar, Child Friendly, Credit Cards Accepted, No Curfew, Non Smoking, H_t9]",http://www.hostelworld.com/hosteldetails.php/B-and-B-Giovy/Rome/7699
7,CroParadise Green Hostel,"[>8.5, Awards:1, Croatia, Split, Linen Included, Free City Maps, Towels Included, Free WiFi, Free Internet Access , Security Lockers, Common Room, Breakfast Not Included, Air Conditioning, Adaptors, Book Exchange, Hot Showers, Self-Catering Facilities, Cable TV, Outdoor Terrace, Reading Light, Hair Dryers, Washing Machine, Steam Room, Internet Access, Laundry Facilities, Airport Transfers, Fax Service, Tours/Travel Desk, Shuttle Bus, Cafe, Tea & Coffee Making Facilities, PlayStation, DVD's, Board Games, Credit Cards Not Accepted, No Curfew, Taxes Included, H_t7]",http://www.hostelworld.com/hosteldetails.php/CroParadise-Green-Hostel/Split/19757
8,Le Montclair Montmartre Hostel & Budget Hotel,"[7-8.5, Awards:1, France, Paris, Linen Included, Free City Maps, Free WiFi, Free Internet Access , Security Lockers, Common Room, Bicycle Parking, Breakfast Not Included, Adaptors, Book Exchange, Hot Showers, Self-Catering Facilities, Fridge/Freezer, Dryer, Hair Dryers For Hire, Hair Dryers, Iron / Ironing Board, Safe Deposit Box, Microwave, Washing Machine, Internet Access, Laundry Facilities, Airport Transfers, Towels for hire, Luggage Storage, Fax Service, 24 Hour Reception, Tours/Travel Desk, Shuttle Bus, 24 Hour Security, Housekeeping, Bar, Games Room, Foosball, Wi-Fi, Credit Cards Accepted, No Curfew, H_t9]",http://www.hostelworld.com/hosteldetails.php/Le-Montclair-Montmartre-Hostel-and-Budget-Hotel/Paris/1399
9,India House Backpackers Hostel,"[7-8.5, Awards:0, USA, New Orleans, Linen Included, Free Parking, Free Internet Access , Security Lockers, Swimming Pool, Common Room, Bicycle Parking, BBQ, Air Conditioning, Cable TV, Outdoor Terrace, Reading Light, Parking, Outdoor Swimming Pool, Steam Room, Bicycle Hire, Towels for hire, Fax Service, 24 Hour Reception, Tours/Travel Desk, Postal Service, 24 Hour Security, Credit Cards Accepted, No Curfew, Taxes Not Included, H_t6]",http://www.hostelworld.com/hosteldetails.php/India-House-Backpackers-Hostel/New-Orleans/4857
