,hostel_id,hostel
0,0,Fortuna Botel
1,1,Equity Point Sea
2,2,The Naughty Squirrel Backpackers Hostel
3,3,La Chimba Hostel
4,4,Barcelona 4 Fun Hostel
5,5,Bed & Bike Barcelona
6,6,B&B Giovy
7,7,CroParadise Green Hostel
8,8,Le Montclair Montmartre Hostel & Budget Hotel
9,9,India House Backpackers Hostel
10,10,HI Austin
11,11,Sleep in Heaven
12,12,Frankfurt Hostel
13,13,Living Mad Hostel
14,14,Youth Hostel Anna
15,15,YHA Bath
16,16,Budget Backpackers
17,17,Aviemore Youth Hostel
18,18,Bong House
19,19,Hatters at Hilton Chambers
20,20,Internet Hostel Sofia
21,21,Jacobs Inn
22,22,Tarifa Melting Pot Hostel
23,23,Tiber Hostel and Camping
24,24,Hostelgate Privates
25,25,Urban House
26,26,Ciarus
27,27,PLUS Berlin
28,28,Cinnamon Hostel Poznan
29,29,Cool & Bed
30,30,Feetup Garden House Hostel
31,31,Samesun Venice Beach
32,32,Wow Roma
33,33,Freedom Traveller
34,34,Sitting On The City Walls Courtyard House
35,35,Brussels Hello Hostel
36,36,Florida Hostel & Hotel
37,37,Seaside Hawaiian Hostel Waikiki
38,38,"HI Chicago, The J.Ira & Nicki Harris Family Hostel"
39,39,Copenhagen Downtown Hostel
40,40,Hostel Paradis
41,41,The Yellow
42,42,Hans Brinker Budget Hotel
43,43,La Controra Hostel Naples
44,44,I Keu Ken Hostel
45,45,Vietnam Backpacker Hostels - Original
46,46,Orchid Hotel
47,47,Cosmic Guest House
48,48,HEY Backpackers
49,49,Clink78
50,50,Hostel ROOM Rotterdam
51,51,Westend City Hostel
52,52,Oliver St. John Gogarty
53,53,PLUS Florence
54,54,Samay Hostel Sevilla
55,55,Dina's Guesthouse
56,56,Casa Caracol
57,57,Makuto Backpackers Hostel
58,58,Belfast International Youth Hostel
59,59,Village Camping Santafortunata Campogaio
60,60,McLays Guest House
61,61,The Best Hotel
62,62,Smart Hyde Park View Hostel
63,63,Kinlay House Dublin
64,64,La Pescheria Backpackers
65,65,Hotel the Moon
66,66,Hostal Alcaravaneras
67,67,MuchoMadrid
68,68,Isaacs Hostel
69,69,Kyoto Hana Hostel
70,70,Pension Madrid 21
71,71,Youth Station Hostel - Rome -
72,72,Jazz on the Park Youth Hotel
73,73,Youth Hostel Uni Hotel
74,74,Pegasus Hostel
75,75,Floral Shire Suvarnabhumi Airport Hotel
76,76,Castanea Old Town Hostel
