,user_id,user_stuff,hsts_liked
0,1189474,"[Fortuna Botel, Hungary, 7-8.5, Hs:1, Rt6, nationality: England, nan, not specified]",[Fortuna Botel]
1,1595059,"[Equity Point Sea, Spain, 7-8.5, Hs:1, Rt2, nationality: Hong Kong, nan, not specified]",[Equity Point Sea]
2,3637809,"[The Naughty Squirrel Backpackers Hostel, Latvia, >8.5, Hs:1, nationality: Australia, Male, 31-40]",[The Naughty Squirrel Backpackers Hostel]
3,3835945,"[Chile, 5-7, Hs:1, Rt3, nationality: England, nan, not specified]",[]
4,3461306,"[Spain, <5, Hs:1, Rt4, nationality: Canada, nan, not specified]",[]
5,3298399,"[Bed & Bike Barcelona, B&B Giovy, CroParadise Green Hostel, B&B Giovy, Spain, Italy, Croatia, Italy, >8.5, Hs:4, Rt4, Rt5, nationality: Wales, Male, 41+]","[Bed & Bike Barcelona, B&B Giovy, CroParadise Green Hostel, B&B Giovy]"
6,4689406,"[Le Montclair Montmartre Hostel & Budget Hotel, France, 7-8.5, Hs:1, Rt6, nationality: Spain, nan, not specified]",[Le Montclair Montmartre Hostel & Budget Hotel]
7,2654918,"[India House Backpackers Hostel, HI Austin, Sleep in Heaven, Frankfurt Hostel, Living Mad Hostel, Youth Hostel Anna, YHA Bath, USA, USA, Denmark, Germany, Spain, Greece, England, >8.5, Hs:7, nationality: Australia, nan, not specified]","[India House Backpackers Hostel, HI Austin, Sleep in Heaven, Frankfurt Hostel, Living Mad Hostel, Youth Hostel Anna, YHA Bath]"
8,1892703,"[Budget Backpackers, Scotland, Scotland, 7-8.5, Hs:2, Rt2, Rt6, nationality: Malta, Male, 25-30]",[Budget Backpackers]
9,3986679,"[Bong House, South Korea, >8.5, Hs:1, Rt7, nationality: USA, Female, 25-30]",[Bong House]
10,2899312,"[Hatters at Hilton Chambers, England, >8.5, Hs:1, Rt8, nationality: Brunei, nan, not specified]",[Hatters at Hilton Chambers]
11,4451133,"[Jacobs Inn, Bulgaria, Ireland, 7-8.5, Hs:2, Rt4, Rt5, nationality: Spain, Mixed Group, 31-40]",[Jacobs Inn]
12,2702720,"[Tiber Hostel and Camping, Italy, >8.5, Hs:1, Rt6, nationality: France, nan, not specified]",[Tiber Hostel and Camping]
13,2355196,"[Hostelgate Privates, Urban House, Ciarus, Lithuania, Spain, France, >8.5, Hs:3, Rt4, nationality: USA, Male, 25-30]","[Hostelgate Privates, Urban House, Ciarus]"
14,4579770,"[PLUS Berlin, Cinnamon Hostel Poznan, Cool & Bed, Germany, Poland, France, 7-8.5, Hs:3, nationality: Netherlands, Male, 41+]","[PLUS Berlin, Cinnamon Hostel Poznan, Cool & Bed]"
15,1721868,"[Spain, 5-7, Hs:1, Rt5, nationality: Canada, nan, not specified]",[]
16,1709669,"[Samesun Venice Beach, USA, >8.5, Hs:1, Rt9, nationality: USA, nan, not specified]",[Samesun Venice Beach]
17,2369857,"[Italy, <5, Hs:1, nationality: Italy, nan, not specified]",[]
18,2857241,"[Freedom Traveller, Italy, 7-8.5, Hs:1, Rt9, nationality: Canada, nan, not specified]",[Freedom Traveller]
19,3395644,"[Sitting On The City Walls Courtyard House, China, 7-8.5, Hs:1, Rt1, nationality: USA, nan, not specified]",[Sitting On The City Walls Courtyard House]
20,2945376,"[Brussels Hello Hostel, Belgium, >8.5, Hs:1, nationality: France, nan, not specified]",[Brussels Hello Hostel]
21,4831612,"[Florida Hostel & Hotel, Seaside Hawaiian Hostel Waikiki, Italy, USA, USA, >8.5, Hs:3, nationality: Australia, Female, 25-30]","[Florida Hostel & Hotel, Seaside Hawaiian Hostel Waikiki]"
22,3784926,"[Copenhagen Downtown Hostel, Hostel Paradis, Denmark, France, >8.5, Hs:2, Rt9, nationality: Greece, Male, 25-30]","[Copenhagen Downtown Hostel, Hostel Paradis]"
23,4572822,"[Italy, <5, Hs:1, Rt9, nationality: USA, nan, not specified]",[]
24,3213069,"[La Controra Hostel Naples, Italy, 7-8.5, Hs:1, Rt8, nationality: England, nan, not specified]",[La Controra Hostel Naples]
25,3630431,"[I Keu Ken Hostel, Vietnam Backpacker Hostels - Original, Orchid Hotel, Cosmic Guest House, Argentina, Vietnam, Vietnam, Hong Kong, >8.5, Hs:4, Rt6, nationality: Ireland, nan, not specified]","[I Keu Ken Hostel, Vietnam Backpacker Hostels - Original, Orchid Hotel, Cosmic Guest House]"
26,1755206,"[HEY Backpackers, South Korea, 7-8.5, Hs:1, Rt6, nationality: Malaysia, nan, not specified]",[HEY Backpackers]
27,4669199,"[Hostel ROOM Rotterdam, Westend City Hostel, Ciarus, PLUS Florence, Samay Hostel Sevilla, Dina's Guesthouse, Casa Caracol, Tarifa Melting Pot Hostel, Makuto Backpackers Hostel, England, Netherlands, Austria, France, Ireland, Italy, Spain, Portugal, Spain, Spain, Spain, >8.5, Hs:11, nationality: USA, nan, not specified]","[Hostel ROOM Rotterdam, Westend City Hostel, Ciarus, PLUS Florence, Samay Hostel Sevilla, Dina's Guesthouse, Casa Caracol, Tarifa Melting Pot Hostel, Makuto Backpackers Hostel]"
28,3122792,"[Belfast International Youth Hostel, Northern Ireland, >8.5, Hs:1, Rt6, nationality: Canada, nan, not specified]",[Belfast International Youth Hostel]
29,4140026,"[Italy, 5-7, Hs:1, Rt10, nationality: Canada, nan, not specified]",[]
30,2800232,"[Scotland, Scotland, <5, Hs:2, Rt6, Rt10, nationality: Singapore, nan, not specified]",[]
31,3594037,"[Italy, 7-8.5, Hs:1, Rt4, nationality: Taiwan, nan, not specified]",[]
32,4237383,"[Smart Hyde Park View Hostel, England, >8.5, Hs:1, Rt3, nationality: Argentina, nan, not specified]",[Smart Hyde Park View Hostel]
33,2954026,"[Kinlay House Dublin, Ireland, >8.5, Hs:1, Rt3, nationality: USA, nan, not specified]",[Kinlay House Dublin]
34,3734285,"[Italy, <5, Hs:1, Rt8, nationality: Peru, nan, not specified]",[]
35,3328328,"[Italy, 5-7, Hs:1, Rt10, nationality: USA, nan, not specified]",[]
36,4754467,"[Belgium, 7-8.5, Hs:1, Rt3, nationality: Spain, nan, not specified]",[]
