,user_id,hostel_lst,num_hostels,hst_names_lst
0,1189474,[0],1,[Fortuna Botel]
1,1595059,[1],1,[Equity Point Sea]
2,3637809,[2],1,[The Naughty Squirrel Backpackers Hostel]
3,3835945,[3],1,[La Chimba Hostel]
4,3461306,[4],1,[Barcelona 4 Fun Hostel]
5,3298399,"[5, 6, 7, 6]",4,"[Bed & Bike Barcelona, B&B Giovy, CroParadise Green Hostel, B&B Giovy]"
6,4689406,[8],1,[Le Montclair Montmartre Hostel & Budget Hotel]
7,2654918,"[9, 10, 11, 12, 13, 14, 15]",7,"[India House Backpackers Hostel, HI Austin, Sleep in Heaven, Frankfurt Hostel, Living Mad Hostel, Youth Hostel Anna, YHA Bath]"
8,1892703,"[16, 17]",2,"[Budget Backpackers, Aviemore Youth Hostel]"
9,3986679,[18],1,[Bong House]
10,2899312,[19],1,[Hatters at Hilton Chambers]
11,4451133,"[20, 21]",2,"[Internet Hostel Sofia, Jacobs Inn]"
12,2702720,[23],1,[Tiber Hostel and Camping]
13,2355196,"[24, 25, 26]",3,"[Hostelgate Privates, Urban House, Ciarus]"
14,4579770,"[27, 28, 29]",3,"[PLUS Berlin, Cinnamon Hostel Poznan, Cool & Bed]"
15,1721868,[30],1,[Feetup Garden House Hostel]
16,1709669,[31],1,[Samesun Venice Beach]
17,2369857,[32],1,[Wow Roma]
18,2857241,[33],1,[Freedom Traveller]
19,3395644,[34],1,[Sitting On The City Walls Courtyard House]
20,2945376,[35],1,[Brussels Hello Hostel]
21,4831612,"[36, 37, 38]",3,"[Florida Hostel & Hotel, Seaside Hawaiian Hostel Waikiki, HI Chicago, The J.Ira & Nicki Harris Family Hostel]"
22,3784926,"[39, 40]",2,"[Copenhagen Downtown Hostel, Hostel Paradis]"
23,4572822,[41],1,[The Yellow]
24,3213069,[43],1,[La Controra Hostel Naples]
25,3630431,"[44, 45, 46, 47]",4,"[I Keu Ken Hostel, Vietnam Backpacker Hostels - Original, Orchid Hotel, Cosmic Guest House]"
26,1755206,[48],1,[HEY Backpackers]
27,4669199,"[49, 50, 51, 26, 52, 53, 54, 55, 56, 22, 57]",11,"[Clink78, Hostel ROOM Rotterdam, Westend City Hostel, Ciarus, Oliver St. John Gogarty, PLUS Florence, Samay Hostel Sevilla, Dina's Guesthouse, Casa Caracol, Tarifa Melting Pot Hostel, Makuto Backpackers Hostel]"
28,3122792,[58],1,[Belfast International Youth Hostel]
29,4140026,[59],1,[Village Camping Santafortunata Campogaio]
30,2800232,"[60, 60]",2,"[McLays Guest House, McLays Guest House]"
31,3594037,[61],1,[The Best Hotel]
32,4237383,[62],1,[Smart Hyde Park View Hostel]
33,2954026,[63],1,[Kinlay House Dublin]
34,3734285,[64],1,[La Pescheria Backpackers]
35,3328328,[41],1,[The Yellow]
36,4754467,[65],1,[Hotel the Moon]
37,4979423,[66],1,[Hostal Alcaravaneras]
38,1881016,[68],1,[Isaacs Hostel]
39,3082884,[69],1,[Kyoto Hana Hostel]
40,2782011,"[70, 12]",2,"[Pension Madrid 21, Frankfurt Hostel]"
41,2594181,[71],1,[Youth Station Hostel - Rome -]
42,2024123,[72],1,[Jazz on the Park Youth Hotel]
43,4863316,[73],1,[Youth Hostel Uni Hotel]
44,3876150,"[74, 75]",2,"[Pegasus Hostel, Floral Shire Suvarnabhumi Airport Hotel]"
45,4292244,"[76, 77, 78, 79, 80]",5,"[Castanea Old Town Hostel, Abigails Hostel, Hostel Blues, Hostel One Sants, Hostel Possonium]"
46,3319407,[12],1,[Frankfurt Hostel]
47,2634274,[81],1,[Hostel Zeus]
48,4564123,[82],1,[Vertigo Centre]
49,4501636,"[83, 84, 85, 86, 87]",5,"[JUFA Salzburg City, Montenegro Hostel, Las Musas Hostel, Mandala Hostel, Hostel Ruthensteiner Vienna]"
50,4995420,[88],1,[Oops! Design Hostel - Latin Quarter]
51,4268821,[89],1,[Cape Town Backpackers]
52,3902182,"[90, 41]",2,"[Goodnight Lisbon Hostel, The Yellow]"
53,2704501,[91],1,[American Dream Hostel]
54,2983676,[92],1,[Wombats City Hostel Vienna - The Lounge]
55,4074739,[93],1,[Abrahams Hostel]
56,3406838,"[94, 95, 96, 97]",4,"[Astor Victoria, Hamilton Backpacker lodge, The Riverhouse Backpackers, Belsize House]"
57,1004454,[99],1,[YWCA Banff Hotel]
58,4541662,[87],1,[Hostel Ruthensteiner Vienna]
59,4870404,[100],1,[La Dolce Vita Bolivia]
60,1247650,"[101, 102, 103, 104, 105]",5,"[Aladin hostel, Hostel Mali Mrak Zagreb, Hostel Ljubicica, Be Mar Hostel, Horizon Beach Backpackers Resort]"
61,4856666,[106],1,[Squareone]
62,2964488,[13],1,[Living Mad Hostel]
63,2871912,[107],1,[Castle Rock Hostel]
64,1763758,"[68, 68]",2,"[Isaacs Hostel, Isaacs Hostel]"
65,2750584,[108],1,[Hotel D'Amiens]
66,3112654,[19],1,[Hatters at Hilton Chambers]
67,4448488,[109],1,[Cosy Corner Hostel]
68,2866615,"[69, 110, 111]",3,"[Kyoto Hana Hostel, Step Inn Guest House and Hostel, Fun Taipei Backpackers]"
69,1492648,"[112, 113]",2,"[The Chocolate Hostel & Crew House, Jazz on South Beach Youth Hotel]"
70,2775674,[114],1,[Hotel Angamos]
71,1648314,[115],1,[HI Washington DC]
72,2208939,[116],1,[SameSun Vancouver]
73,4283001,"[117, 118, 119, 120, 121, 122, 123, 124, 102, 125]",10,"[Do Step Inn, Oresti Hostel, SunnyLakeHostel, Shanti-Hostel, Tallinn Backpackers, Sun Hostel, Flamingo Hostel, Apartment Historical Centre, Hostel Mali Mrak Zagreb, Youth Hostel Van Gogh (Chab)]"
74,2008180,[126],1,[Wang Fat Hostel]
75,2529278,"[127, 128, 21, 93]",4,"[Bru Bar & Hostel, Neptunes Town Hostel, Jacobs Inn, Abrahams Hostel]"
76,4055366,[129],1,[Adventurers Backpackers]
77,2671188,"[130, 131]",2,"[Backpackers Manuel Antonio, Villas Jacquelina]"
78,3771679,[132],1,[Equity Point Gothic]
79,2999088,"[134, 135]",2,"[Locanda Daniel, Hostel Pastoral]"
80,1600202,[136],1,[Charlie Rockets]
81,3718769,"[137, 138, 139, 140]",4,"[Budgett Hostels, Oasis Hostel, PLUS Camping Roma, Alfa Tourist Service - Hostel Jednota]"
82,4032426,[141],1,[Caulaincourt Montmartre Hostel]
83,4150341,[142],1,[St Christopher's at The Winston]
84,2980787,[134],1,[Locanda Daniel]
85,4066204,"[143, 144]",2,"[Wombats City Hostel Munich, My Place Dublin]"
86,1188816,[145],1,[Greenpoint YMCA]
87,3931954,[146],1,[MD House]
88,2912458,[123],1,[Flamingo Hostel]
89,4978960,"[147, 148]",2,"[Ikoi-no-Ie Kyoto, Kobe Sannomiya R2 Hostel]"
90,3973186,[149],1,[Hostel Oki Doki]
91,4032709,"[150, 151]",2,"[Oasis Backpackers Mansion Lisboa, Leo Hostel]"
92,4723940,[152],1,[Barnacles Temple Bar House]
93,2939856,"[153, 154, 155, 156]",4,"[Dorset House Backpackers, The Northern Greenhouse, Saucy Mary's Lodge, Fort William Backpackers]"
94,3949794,[92],1,[Wombats City Hostel Vienna - The Lounge]
95,1440919,[157],1,[Soggiorno Primavera]
96,3486844,[158],1,[Hostel Gallo d'Oro]
97,2802563,[72],1,[Jazz on the Park Youth Hotel]
98,3356609,"[159, 160]",2,"[Jordan Tower Hostel, 7x24 Central Hostel]"
99,3874508,[1],1,[Equity Point Sea]
100,4564542,"[161, 162, 163, 164, 165]",5,"[Ring Hostel, Beata Solitudo, YHA Ostello Mergellina, Hostal Welcome, INOUT Hostel]"
101,2898520,[166],1,[Bath YMCA]
102,2441392,[64],1,[La Pescheria Backpackers]
103,4605168,[4],1,[Barcelona 4 Fun Hostel]
104,2099132,[167],1,[Beijing Downtown Backpackers]
105,2395029,"[168, 169]",2,"[Hostel Hutteldorf, Shelter Jordan]"
106,2173814,[170],1,[Sir Toby's Hostel]
107,3992047,[171],1,[Hotel Martello]
108,4448688,[172],1,[Hotel de l'Europe]
109,4705856,[173],1,[Chili Hostel]
110,2152328,[9],1,[India House Backpackers Hostel]
111,1397437,[174],1,[USA Hostels San Diego]
112,4222767,[175],1,[Porto Riad]
113,1678670,[176],1,[El Retorno Traveller's Hostel]
114,4474538,[177],1,[Dreamtime Travellers Rest]
115,4050308,"[178, 179]",2,"[Circus Hostel, Ashfield Hostel]"
116,4514830,"[180, 181, 182]",3,"[The Connemara Hostel (Sleepzone), Kingstown House, Harbour House]"
117,3858293,[183],1,[Caravella Backpackers Cairns City Waterfront]
118,4555927,[184],1,[Hostel Rosemary]
119,2701462,[185],1,[Chelsea International Hostel]
120,3365980,[74],1,[Pegasus Hostel]
121,3851597,[186],1,[Hotel Giovannina]
122,4207197,[187],1,[Anna Guesthouse]
123,2937612,"[188, 189, 190, 191]",4,"[Pension Amalur, Home Youth Hostel Valencia by Feetup Hostels, Oasis Backpackers Hostel Granada, Santa Ana Hostal]"
124,4410257,[192],1,[St Christopher's Inn Canal]
125,4063025,"[141, 13]",2,"[Caulaincourt Montmartre Hostel, Living Mad Hostel]"
126,3699300,"[193, 194, 195]",3,"[Chitwan Forest Resort, Hotel Angel, Dubrovnik Youth Service]"
127,1650130,[196],1,[West Side YMCA]
128,4106206,"[197, 198, 199, 200, 201, 60]",6,"[Hostel Kokopelli, Pirwa Hostels Machu Picchu, Pachamama, Banana's Adventure, Paracas Backpackers House, McLays Guest House]"
129,3145038,"[202, 203]",2,"[Absolute Paris Boutique Hostel, Eastern Comfort Hostelboat Berlin]"
130,3902823,"[204, 205, 206, 207, 208, 209, 210]",7,"[Camping Fusina, Emerald Fields, Legends, Seven Hostel, Private Accommodation Raspudic, Hostel Dioklecijan, Brussels 2GO4 Quality Hostel City Centre]"
131,1593084,[211],1,[The Nunnery]
132,4841689,[212],1,[Buonanotte & Buongiorno]
133,4049397,[213],1,[Hello Chengdu International Youth Hostel]
134,3390296,[13],1,[Living Mad Hostel]
135,3731890,[213],1,[Hello Chengdu International Youth Hostel]
136,3179488,[214],1,[HI-Vancouver Central]
137,2875493,[215],1,[The Mitraa]
138,2136853,[216],1,[Edinburgh Metro Youth Hostel]
139,2841539,"[56, 217]",2,"[Casa Caracol, Living Cat's Hostel]"
140,3397602,[218],1,[Surfside Coogee Beach Backpackers]
141,3375363,"[142, 219, 220, 221]",4,"[St Christopher's at The Winston, Baxpax Mitte Hostel, Discovery Melbourne, Enter Privates]"
142,2211562,[222],1,[Laksameenarai Guesthouse]
143,4578324,[223],1,[Hostel 41 Below]
144,2504398,[210],1,[Brussels 2GO4 Quality Hostel City Centre]
145,3649773,[225],1,[Four Courts Hostel]
146,4722655,"[226, 227]",2,"[Venice Ormesini, Claremont Guesthouse]"
147,1154992,[228],1,[Antares Hostel]
148,1156696,"[229, 230]",2,"[Sun & Moon Hostel, Travellers hostel Praha]"
149,3122368,"[231, 232]",2,"[Camping Valle dei Templi, Fabric Hostel & Club]"
150,2345416,[233],1,[London House Hotel]
151,2379402,[234],1,[Balmers Hostel]
152,2559979,[235],1,[Ipanema Beach House]
153,4022873,[236],1,[Cordial House Hostel]
154,3684507,[237],1,[Miami Beach International Hostel]
155,2444638,"[238, 239, 240, 241, 241, 242]",6,"[Beaches of Broome, Hotel Chuo Selene, Marks Inn Sapporo, Hotel Chuo, Hotel Chuo, Hostel Korea]"
156,1231624,[139],1,[PLUS Camping Roma]
157,1521232,[243],1,[City Central International Hostel]
158,4073989,[244],1,[Newport International Hostel]
159,3508814,[245],1,[Backpackers-Duesseldorf]
160,4984148,"[179, 246, 101, 247, 248, 249, 53, 250]",8,"[Ashfield Hostel, Dubrovnik Backpackers Club, Aladin hostel, Student's Hostel Estense, Giovanni's Home, Fiesta Terrace Hostel, PLUS Florence, Downtown-Lodge]"
161,2712154,[251],1,[Albatross]
162,1696890,[252],1,[Sunny's Adelaide Backpackers Hostel]
163,4350529,"[253, 254, 80]",3,"[Youth Hostel Zagreb, Spirit Hostel, Hostel Possonium]"
164,3326590,"[255, 256, 257]",3,"[Nice Art Hotel, Capsule Hotel Asahi Plaza Shinsaibashi, Auberge L'Apero]"
165,1932600,"[258, 259]",2,"[International Budget Hostel, Central Backpack King]"
166,1735214,[260],1,[Fireside Inn]
167,4520862,"[88, 12, 74]",3,"[Oops! Design Hostel - Latin Quarter, Frankfurt Hostel, Pegasus Hostel]"
168,2890236,"[261, 262]",2,"[Lybeer Travellers' Hostel, Residence les Ecrins]"
169,2544190,"[263, 263]",2,"[Nuevo Suizo, Nuevo Suizo]"
170,4369699,[264],1,[MEININGER Brussels City Center]
