country,hostel
 Albania,15
 Andorra,1
 Antigua And Barbuda,1
 Argentina,135
 Armenia,4
 Australia,200
 Austria,46
 Azerbaijan,1
 Bahamas,1
 Bangladesh,1
 Barbados,1
 Belarus,2
 Belgium,46
 Belize,4
 Bolivia,32
 Bosnia And Herzegovina,23
 Brazil,145
 Bulgaria,17
 Cambodia,45
 Canada,58
 Chile,82
 China,159
 Colombia,76
 Costa Rica,47
 Croatia,158
 Cyprus,2
 Czech Republic,95
 Denmark,13
 Dominican Republic,3
 Ecuador,29
 Egypt,21
 El Salvador,2
 England,181
 Estonia,17
 Ethiopia,1
 Fiji,6
 Finland,9
 France,167
 French Polynesia,1
 Georgia,7
 Germany,184
 Ghana,1
 Greece,96
 Guatemala,24
 Honduras,3
 Hong Kong,40
 Hungary,87
 Iceland,11
 India,51
 Indonesia,50
 Ireland,110
 Israel,21
 Italy,494
 Jamaica,4
 Japan,176
 Jordan,9
 Kazakhstan,2
 Kenya,2
 Kosovo,7
 Kyrgyzstan,2
 Laos,11
 Latvia,17
 Liechtenstein,1
 Lithuania,17
 Luxembourg,4
 Macau,2
 Macedonia,13
 Madagascar,1
 Malaysia,77
 Maldives,1
 Malta,14
 Mexico,90
 Moldova,3
 Monaco,1
 Mongolia,5
 Montenegro,13
 Morocco,58
 Mozambique,1
 Myanmar,4
 Namibia,1
 Nepal,13
 Netherlands,100
 Netherlands Antilles,3
 New Zealand,111
 Nicaragua,14
 Northern Ireland,16
 Norway,11
 Pakistan,1
 Palestine,1
 Panama,15
 Paraguay,2
 Peru,92
 Philippines,20
 Poland,92
 Portugal,145
 Puerto Rico,8
 Romania,29
 Russia,42
 Rwanda,1
 Samoa,1
 San Marino,1
 Scotland,72
 Senegal,2
 Serbia,23
 Singapore,27
 Slovakia,17
 Slovenia,38
 South Africa,44
 South Korea,59
 Spain,359
 Sri Lanka,12
 Swaziland,2
 Sweden,34
 Switzerland,44
 Taiwan,57
 Tanzania,8
 Thailand,165
 Tunisia,1
 Turkey,71
 USA,178
 Ukraine,9
 United Arab Emirates,1
 Uruguay,22
 Uzbekistan,4
 Venezuela,1
 Vietnam,98
 Wales,9
 Zambia,4
 Zimbabwe,1
