,text,user_id,score,hostel,location,link
0,"I really enjoyed staying at this hostel.That was totally perfect.Rooms are clearned everyday, we can have a good breakfast,and all staff are so kind.I felt very comfortable and it was like staying home. I really recommend this hostel.",4929738,10.0,Smile Hostal,"Lisbon, Portugal",http://www.hostelworld.com/hosteldetails.php/Smile-Hostal/Lisbon/21697
1,"excellent hostel.  definitely planning on returning!  safe clean fun, especially for such a small place.  ",3151081,10.0,Alberguinn Youth Hostel,"Barcelona, Spain",http://www.hostelworld.com/hosteldetails.php/Alberguinn-Youth-Hostel/Barcelona/12156
2,perfect hostel.  great staff.  nice rooms.  good for a quiet nights rest if you need it but no lockout if you want to rage all night,3151081,9.0,David Quinn,"San Sebastian, Spain",http://www.hostelworld.com/hosteldetails.php/David-Quinn/San-Sebastian/16065
3,No customer comment,3243188,9.1,Goodnight Lisbon Hostel,"Lisbon, Portugal",http://www.hostelworld.com/hosteldetails.php/Goodnight-Lisbon-Hostel/Lisbon/20273
4,I'm very angry about the 5$ extra per night for non-memebers (not shown in the room-prices)!!,3243188,7.3,HI-Ottawa Jail Hostel,"Ottawa, Canada",http://www.hostelworld.com/hosteldetails.php/HI-Ottawa-Jail-Hostel/Ottawa/4647
5,"The balcony was wonderful, it was easy to meet great people, and the whole stay was just perfect.  We ended up staying over twice as long as we thought we would!",1102111,10.0,Guesthouse Margarida,"Lagos, Portugal",http://www.hostelworld.com/hosteldetails.php/Guesthouse-Margarida/Lagos/4705
6,This hostel needs to be remodeled with secure locks in showers and toilets.  The fan in my room was not working,3005780,4.3,Hostel Zeus,"Athens, Greece",http://www.hostelworld.com/hosteldetails.php/Hostel-Zeus/Athens/4692
7,No customer comment,2124926,8.0,Walking Street Hostel Pisa,"Pisa, Italy",http://www.hostelworld.com/hosteldetails.php/Walking-Street-Hostel-Pisa/Pisa/41780
8,"Miquele es encantador y siempre atento y la se̱ora de la limpieza, encantadora. El lugar maravilloso... sobretodo la terraza. Gracias por todo. Ra̼l y Ale.",2124926,10.0,Residenza Kastrum,"Cagliari, Italy",http://www.hostelworld.com/hosteldetails.php/Residenza-Kastrum/Cagliari/33948
9,"The room was very small and there was practically no room to move around the bed. It was sort of stinky, and not clean. It also was a bit far away from the main touristy attractions, however, very close to local night life. I wouldn't stay at this hostel again.",3238316,5.7,Hotel Bastille Baudelaire,"Paris, France",http://www.hostelworld.com/hosteldetails.php/Hotel-Bastille-Baudelaire/Paris/5488
