,user_id,about,num_revs
0,2204119,"
                                            Spain,                                                                                                                                ",1
1,3765998,"
                                            Northern Ireland,                                                                                                                                ",1
2,2384221,"
                                            Canada,                                                                                                                                ",1
3,2378241,"
                                            Brazil,                                                                                                                                ",1
4,1285791,"
                                            Australia,                                                                                                                                ",2
5,2558799,"
                                            Mexico,                                                                                                                                ",1
6,3520243,"
                                            USA,                                                                                                                                ",1
7,2269986,"
                                            Australia,                                                                                                                                ",4
8,3957127,"
                                            Hungary,                                                                                                                                ",1
9,1622232,"
                                            Ireland,                                                                                                                                ",1
10,3124923,"
                                            USA,                                                                                                                                ",1
11,4320459,"
                                            Denmark,                                                                                                                                ",1
12,3864486,"
                                            Canada,                                                                                                                                ",3
13,4961471,"
                                            USA,                                                                                                                                ",1
14,1527171,"
                                            Australia,                                                                                                                                ",1
15,4538633,"
                                            Scotland,                                                                                                                                ",1
16,1189474,"
                                            England,                                                                                                                                ",2
17,1595059,"
                                            Hong Kong,                                                                                                                                ",2
18,3637809,"
                                            Australia,                                            Male,                                            31-40                                        ",1
19,3835945,"
                                            England,                                                                                                                                ",1
20,1742493,"
                                            USA,                                                                                                                                ",1
21,3461306,"
                                            Canada,                                                                                                                                ",3
22,3656651,"
                                            England,                                                                                                                                ",1
23,3298399,"
                                            Wales,                                            Male,                                            41+                                        ",4
24,4689406,"
                                            Spain,                                                                                                                                ",1
25,2654918,"
                                            Australia,                                                                                                                                ",14
26,1892703,"
                                            Malta,                                            Male,                                            25-30                                        ",2
27,3986679,"
                                            USA,                                            Female,                                            25-30                                        ",1
28,2899312,"
                                            Brunei,                                                                                                                                ",1
29,4451133,"
                                            Spain,                                            Mixed Group,                                            31-40                                        ",2
30,4995137,"
                                            USA,                                                                                                                                ",1
31,2702720,"
                                            France,                                                                                                                                ",1
32,2355196,"
                                            USA,                                            Male,                                            25-30                                        ",4
33,4579770,"
                                            Netherlands,                                            Male,                                            41+                                        ",3
34,1721868,"
                                            Canada,                                                                                                                                ",1
35,1709669,"
                                            USA,                                                                                                                                ",1
36,2369857,"
                                            Italy,                                                                                                                                ",1
37,2857241,"
                                            Canada,                                                                                                                                ",1
38,3395644,"
                                            USA,                                                                                                                                ",1
39,2945376,"
                                            France,                                                                                                                                ",1
40,1097162,"
                                            New Zealand,                                                                                                                                ",2
41,4831612,"
                                            Australia,                                            Female,                                            25-30                                        ",3
42,2746226,"
                                            Italy,                                                                                                                                ",1
43,3784926,"
                                            Greece,                                            Male,                                            25-30                                        ",2
44,4572822,"
                                            USA,                                                                                                                                ",1
45,3311845,"
                                            USA,                                                                                                                                ",1
46,3213069,"
                                            England,                                                                                                                                ",2
47,3630431,"
                                            Ireland,                                                                                                                                ",12
48,1755206,"
                                            Malaysia,                                                                                                                                ",1
49,2841815,"
                                            England,                                                                                                                                ",1
50,4929738,"
                                            Japan,                                                                                                                                ",1
51,3151081,"
                                            USA,                                                                                                                                ",2
52,3243188,"
                                            Germany,                                            Mixed Group,                                            31-40                                        ",2
53,1102111,"
                                            USA,                                                                                                                                ",1
54,3005780,"
                                            USA,                                                                                                                                ",1
55,2124926,"
                                            Spain,                                            Male,                                            31-40                                        ",2
56,3238316,"
                                            USA,                                                                                                                                ",1
57,3334761,"
                                            Germany,                                            SOLO,                                            THIRTYONETOFOURTY                                        ",1
58,4693321,"
                                            Hong Kong,                                            Male,                                            31-40                                        ",5
59,4879785,"
                                            Hong Kong,                                                                                                                                ",3
60,3883738,"
                                            New Zealand,                                                                                                                                ",1
61,2333488,"
                                            Australia,                                                                                                                                ",2
62,4810042,"
                                            Norway,                                                                                                                                ",1
63,1751982,"
                                            USA,                                                                                                                                ",1
64,2566174,"
                                            Uruguay,                                            Female,                                            41+                                        ",2
65,2084775,"
                                            Australia,                                                                                                                                ",3
66,3014067,"
                                            USA,                                                                                                                                ",1
67,3418075,"
                                            South Korea,                                                                                                                                ",1
68,2841635,"
                                            England,                                            Female,                                            25-30                                        ",2
69,4467230,"
                                            Germany,                                                                                                                                ",1
70,3799989,"
                                            England,                                            Couple,                                            31-40                                        ",8
71,4586787,"
                                            USA,                                                                                                                                ",1
72,1593217,"
                                            Hong Kong,                                                                                                                                ",1
73,2540933,"
                                            Ireland,                                                                                                                                ",1
74,3226370,"
                                            England,                                            Male,                                            25-30                                        ",1
75,2962957,"
                                            Malaysia,                                            Couple,                                            31-40                                        ",19
76,4309662,"
                                            Ukraine,                                                                                                                                ",3
77,2872997,"
                                            USA,                                                                                                                                ",1
78,4725965,"
                                            Spain,                                                                                                                                ",2
79,2962638,"
                                            USA,                                                                                                                                ",1
80,1088065,"
                                            USA,                                                                                                                                ",1
81,2421354,"
                                            France,                                                                                                                                ",1
82,4366838,"
                                            USA,                                                                                                                                ",1
83,2240289,"
                                            England,                                            Female,                                            25-30                                        ",2
84,2682811,"
                                            USA,                                                                                                                                ",1
85,1379541,"
                                            Australia,                                                                                                                                ",6
86,1986006,"
                                            USA,                                                                                                                                ",1
87,3085189,"
                                            USA,                                                                                                                                ",1
88,4031166,"
                                            Australia,                                                                                                                                ",2
89,2869049,"
                                            China,                                                                                                                                ",1
90,2784672,"
                                            USA,                                                                                                                                ",2
91,4302989,"
                                            USA,                                                                                                                                ",3
92,4847639,"
                                            Denmark,                                                                                                                                ",1
93,3887412,"
                                            Ireland,                                                                                                                                ",1
94,3156004,"
                                            England,                                                                                                                                ",1
95,1658982,"
                                            Germany,                                                                                                                                ",1
96,3658063,"
                                            Australia,                                            Female,                                            25-30                                        ",1
97,4498926,"
                                            USA,                                                                                                                                ",1
98,2095695,"
                                            Canada,                                                                                                                                ",1
99,3352179,"
                                            Australia,                                                                                                                                ",2
100,4162075,"
                                            Netherlands,                                                                                                                                ",1
101,2994378,"
                                            England,                                            Male,                                            31-40                                        ",3
102,4736261,"
                                            Portugal,                                                                                                                                ",1
103,1465559,"
                                            Australia,                                                                                                                                ",1
104,3378079,"
                                            USA,                                            Female,                                            25-30                                        ",1
105,2755253,"
                                            Czech Republic,                                                                                                                                ",1
106,4392719,"
                                            New Zealand,                                                                                                                                ",1
107,2794559,"
                                            USA,                                                                                                                                ",1
108,3315484,"
                                            USA,                                                                                                                                ",1
109,2172481,"
                                            USA,                                                                                                                                ",12
110,4373920,"
                                            Canada,                                                                                                                                ",1
111,1573037,"
                                            Bangladesh,                                                                                                                                ",1
112,3733313,"
                                            Sweden,                                                                                                                                ",1
113,4669199,"
                                            USA,                                                                                                                                ",14
114,3506029,"
                                            Spain,                                                                                                                                ",1
115,3122792,"
                                            Canada,                                                                                                                                ",1
116,4099927,"
                                            France,                                                                                                                                ",1
117,4140026,"
                                            Canada,                                                                                                                                ",1
118,2800232,"
                                            Singapore,                                                                                                                                ",3
119,3594037,"
                                            Taiwan,                                                                                                                                ",1
120,4237383,"
                                            Argentina,                                                                                                                                ",2
121,2954026,"
                                            USA,                                                                                                                                ",1
122,3734285,"
                                            Peru,                                                                                                                                ",2
123,3860233,"
                                            England,                                                                                                                                ",1
124,3328328,"
                                            USA,                                                                                                                                ",1
125,4754467,"
                                            Spain,                                                                                                                                ",1
126,1716844,"
                                            American Samoa,                                                                                                                                ",1
127,4979423,"
                                            USA,                                                                                                                                ",1
128,1483865,"
                                            Australia,                                                                                                                                ",1
129,1881016,"
                                            Netherlands,                                                                                                                                ",1
130,3082884,"
                                            USA,                                                                                                                                ",1
131,2782011,"
                                            Mexico,                                            Couple,                                            25-30                                        ",7
132,2594181,"
                                            Canada,                                                                                                                                ",1
133,2024123,"
                                            USA,                                                                                                                                ",1
134,4863316,"
                                            Croatia,                                                                                                                                ",1
135,3876150,"
                                            Germany,                                                                                                                                ",2
136,4292244,"
                                            England,                                            Male,                                            25-30                                        ",5
137,3319407,"
                                            Australia,                                                                                                                                ",2
138,2634274,"
                                            USA,                                                                                                                                ",1
139,4564123,"
                                            USA,                                                                                                                                ",1
140,4501636,"
                                            USA,                                            SOLO,                                            THIRTYONETOFOURTY                                        ",5
141,4995420,"
                                            Australia,                                                                                                                                ",1
142,4268821,"
                                            England,                                                                                                                                ",1
143,3902182,"
                                            Australia,                                                                                                                                ",2
144,2704501,"
                                            USA,                                                                                                                                ",2
