,user_id,about,num_revs
0,4929738,"
                                            Japan,                                                                                                                                ",1
1,3151081,"
                                            USA,                                                                                                                                ",2
2,3243188,"
                                            Germany,                                            Mixed Group,                                            31-40                                        ",2
3,1102111,"
                                            USA,                                                                                                                                ",1
4,3005780,"
                                            USA,                                                                                                                                ",1
5,2124926,"
                                            Spain,                                            Male,                                            31-40                                        ",2
6,3238316,"
                                            USA,                                                                                                                                ",1
7,3334761,"
                                            Germany,                                            SOLO,                                            THIRTYONETOFOURTY                                        ",1
8,4693321,"
                                            Hong Kong,                                            Male,                                            31-40                                        ",5
9,4879785,"
                                            Hong Kong,                                                                                                                                ",3
10,3883738,"
                                            New Zealand,                                                                                                                                ",1
11,2333488,"
                                            Australia,                                                                                                                                ",2
12,4810042,"
                                            Norway,                                                                                                                                ",1
13,1751982,"
                                            USA,                                                                                                                                ",1
14,2566174,"
                                            Uruguay,                                            Female,                                            41+                                        ",2
15,2084775,"
                                            Australia,                                                                                                                                ",3
16,3014067,"
                                            USA,                                                                                                                                ",1
17,3418075,"
                                            South Korea,                                                                                                                                ",1
18,2841635,"
                                            England,                                            Female,                                            25-30                                        ",2
19,4467230,"
                                            Germany,                                                                                                                                ",1
20,3799989,"
                                            England,                                            Couple,                                            31-40                                        ",8
21,4586787,"
                                            USA,                                                                                                                                ",1
22,1593217,"
                                            Hong Kong,                                                                                                                                ",1
23,2540933,"
                                            Ireland,                                                                                                                                ",1
24,3226370,"
                                            England,                                            Male,                                            25-30                                        ",1
25,2962957,"
                                            Malaysia,                                            Couple,                                            31-40                                        ",19
26,4309662,"
                                            Ukraine,                                                                                                                                ",3
27,2872997,"
                                            USA,                                                                                                                                ",1
28,4725965,"
                                            Spain,                                                                                                                                ",2
29,2962638,"
                                            USA,                                                                                                                                ",1
30,1088065,"
                                            USA,                                                                                                                                ",1
31,2421354,"
                                            France,                                                                                                                                ",1
32,4366838,"
                                            USA,                                                                                                                                ",1
33,2240289,"
                                            England,                                            Female,                                            25-30                                        ",2
34,2682811,"
                                            USA,                                                                                                                                ",1
35,1379541,"
                                            Australia,                                                                                                                                ",6
