,0
0,7879248
1,5470673
2,5900437
3,7150421
4,7691107
5,5403509
6,6713356
7,9658124
8,9337903
9,6957550
10,8454772
11,5408030
12,8691229
13,5694374
14,7525488
15,6368640
16,8418877
17,8186387
18,6661889
19,7576640
20,7897436
21,6546624
22,8052166
23,6718180
24,5014361
25,9181200
26,9788648
27,9817140
28,6151498
29,7358353
30,9340623
31,8463109
32,6259660
33,5301441
34,5861245
35,8452657
36,9698030
37,7803305
38,5905735
39,6054924
40,5935640
41,6895826
42,8216220
43,5778221
44,5279369
45,7859348
46,7455069
47,7532261
48,6498061
49,8803696
50,6553651
51,5679900
52,7037859
53,9664731
54,7020618
55,8436045
56,7235418
57,7765846
58,6230634
59,9947954
60,7404734
61,6779768
62,7900126
63,5722770
64,9625904
65,7631116
66,9430985
67,8726312
68,8408499
69,6207023
70,9668069
71,7173970
72,5675888
73,5980398
74,5258995
75,6539292
76,6938262
77,6262411
78,5447381
79,7652173
80,7471547
81,7580237
82,5424723
83,9728117
84,9742086
85,6249586
86,9216981
87,9582036
88,8181350
89,5209315
90,9317849
91,6968443
92,9507790
93,9511367
94,6432403
95,9021125
96,5253090
97,7446056
98,5417466
99,5582525
100,7303939
101,5003198
102,7229546
103,6803349
104,8427455
105,8737156
106,6476613
107,9527100
108,5872754
109,9739470
110,6921463
111,5358109
112,7016968
113,8747394
114,9238365
115,9224756
116,6443797
117,9207824
118,5456824
119,8906685
120,6795916
121,6081194
122,9049847
123,8429646
124,5932834
125,8859743
126,7823636
127,7575671
128,5380250
129,9081166
130,9816996
131,5022328
132,7966237
133,6481942
134,5317518
135,8424509
136,6165672
137,6154257
138,5088066
139,9296342
140,5364694
141,7785201
142,5053905
143,5167165
144,6095917
145,7909815
146,5993883
147,6064972
148,9947687
149,8268633
150,5953766
151,8442485
152,5942655
153,8335627
154,9121044
155,5530111
156,6215382
157,5623651
158,7972524
159,9176579
160,6363905
161,7503565
162,5399875
163,6869997
164,9755766
165,5139938
166,6777593
167,8638075
168,9782125
169,9529772
170,8754527
171,7512848
172,5720279
173,5076285
174,9666194
175,6259101
176,9278946
177,8299939
178,6960125
179,9562924
180,6912518
181,5152470
182,9202896
183,5719918
184,9798387
185,9269407
186,7155402
187,8777869
188,5587668
189,8103435
190,6085640
191,7525635
192,9476177
193,6964818
194,8636830
195,5556356
196,9366675
197,8848969
198,6428785
199,5501761
200,9604951
201,7288941
202,8732751
203,6684976
204,7298097
205,5805527
206,9340148
207,9404141
208,9277396
209,8219468
210,9703705
211,7265874
212,9667736
213,7120643
214,6369952
215,9908061
216,5644847
217,8806320
218,7589700
219,9712970
220,7523242
221,9636947
222,5875010
223,8714014
224,8655300
225,9841435
226,7334835
227,7815820
228,6451837
229,5964909
230,8848533
231,6513891
232,8203556
233,7518632
234,9444834
235,7455368
236,6853370
237,7225880
238,8371867
239,8024896
240,6298727
241,9594364
242,6338726
243,5670468
244,8582757
245,7126480
246,5393151
247,9095592
248,9322246
249,8206478
250,5684594
251,6375463
252,9017905
253,5719552
254,8125500
255,6416540
256,7688615
257,5380378
258,8188766
259,5064001
260,6919960
261,9646885
262,8047788
263,9853277
264,6183100
265,7547919
266,8290742
267,5398062
268,5666753
269,6845500
270,5285748
271,8248468
272,8283988
273,8577942
274,5583061
275,5138944
276,8817143
277,9096952
278,8173388
279,9323230
280,9872916
281,5346814
282,7248310
283,8534922
284,7312635
285,5143368
286,7134785
287,9198397
288,8664026
289,9346196
290,5193699
291,8567726
292,9056754
293,7009865
294,9984659
295,9876604
296,8605392
297,8143960
298,6199213
299,6585166
300,9218570
301,6142180
302,8095360
303,7275159
304,7783128
305,8764422
306,7314390
307,9496841
308,5677885
309,7006825
310,6824723
311,9375472
312,7971425
313,6079735
314,5451198
315,9387776
316,8629017
317,6998427
318,8126860
319,9767586
320,7124374
321,6431072
322,7778414
323,9562527
324,5325165
325,9838776
326,6541261
327,6904069
328,9725156
329,6130631
330,7930881
331,8813815
332,6466581
333,7302146
334,9161126
335,6973010
336,6339771
337,9648871
338,9264477
339,6381552
340,8505567
341,5454343
342,8210654
343,6851461
344,7106170
345,7304664
346,9440735
347,9637562
348,6859249
349,9587839
350,9111097
351,5066169
352,7558742
353,8226717
354,9451519
355,7809380
356,6642833
357,8739894
358,6401696
359,5451557
360,9864074
361,6943660
362,9443941
363,9523541
364,5375824
365,5453096
366,7415480
367,9364629
368,9751498
369,5211481
370,8688732
371,7760240
372,8710175
373,6366213
374,6257437
375,6967375
376,9648026
377,9746353
378,9674205
379,7055434
380,6496907
381,8938075
382,8588930
383,7911822
384,5306103
385,9994391
386,7517333
387,9862748
388,9797766
389,6956916
390,7008253
391,6988766
392,6277268
393,9705581
394,8227111
395,5762587
396,5397725
397,6101413
398,8107507
399,6913936
400,9209021
401,7851766
402,9700650
403,8547154
404,6309958
405,9808326
406,7296869
407,5854930
408,6215221
409,5187289
410,7647856
411,9238617
412,8376367
413,8306112
414,7840776
415,9229659
416,7223628
417,5366656
418,7359080
419,5803113
420,8498250
421,6215195
422,5600823
423,7028227
424,9544044
425,9333519
426,9174128
427,9697671
428,6733010
429,6261010
430,6913870
431,8523334
432,5069582
433,5881499
434,6214700
435,8642293
436,7046663
437,6399500
438,6606250
439,5047999
440,5072269
441,6758283
442,6533701
443,9105222
444,6728168
445,6590452
446,7323569
447,7417488
448,6046593
449,9512537
450,9623622
451,9834133
452,6402142
453,7781793
454,5037704
455,6435472
456,8393893
457,5298017
458,6349489
459,5025191
460,8621141
461,5727582
462,7671122
463,7052973
464,6993986
465,6221250
466,7935265
467,9911449
468,6351959
469,9893773
470,9125382
471,7217281
472,6347405
473,5242436
474,6877382
475,5495498
476,5680038
477,7759372
478,7999821
479,5854237
480,5397180
481,9390507
482,5295108
483,7528251
484,6757820
485,9973147
486,9306672
487,5030861
488,9746488
489,5563121
490,6670353
491,5050579
492,5955583
493,5082951
494,5092356
495,7648683
496,6245618
497,7769385
498,8150919
499,8979543
500,9922797
501,9114237
502,5288139
503,6158004
504,9428846
505,8604476
506,8645163
507,9009265
508,7573673
509,7831768
510,5777547
511,9759982
512,5186323
513,8863884
514,8929746
515,7069603
516,5423623
517,5918742
518,9666971
519,5451490
520,7811009
521,7115242
522,6355908
523,7197248
524,8948232
525,6679080
526,8590638
527,9894318
528,8085527
529,5228015
530,7949839
531,6839001
532,7834329
533,6122826
534,7475770
535,5739030
536,9920796
537,5545741
538,9248425
539,6802558
540,6922773
541,9951305
542,6416783
543,8738404
544,6616260
545,7122566
546,5030902
547,9953239
548,6793074
549,7959964
550,7602036
551,7530154
552,9908315
553,5402858
554,7198910
555,8110189
556,9556075
557,9385158
558,5566932
559,7479696
560,9781377
561,9579844
562,5742242
563,8257065
564,9982584
565,6825402
566,9129015
567,6801841
568,6140891
569,6818764
570,7591204
571,8342707
572,7693427
573,8109736
574,6895682
575,7413552
576,6989623
577,7200586
578,8905705
579,9031269
580,9889868
581,7347434
582,9614025
583,8814696
584,8227478
585,9835644
586,9820610
587,7715966
588,7135699
589,9737523
590,8233801
591,6810892
592,7410785
593,5354067
594,9497100
595,9310098
596,9302198
597,9901529
598,6232385
599,7738922
600,9043273
601,5384509
602,6722674
603,5123220
604,5116508
605,6944900
606,7271906
607,5132075
608,8810807
609,8085129
610,7051478
611,8359982
612,7590372
613,7729545
614,6120627
615,7561157
616,7089476
617,6238850
618,6110157
619,9170453
620,7316185
621,5658961
622,9328251
623,5813529
624,9575382
625,8113140
626,9545744
627,6410505
628,5139031
629,6298317
630,7901853
631,5950573
632,9776330
633,7572558
634,7043558
635,9874850
636,6003383
637,8533178
638,9575285
639,6408573
640,5452956
641,6314106
642,8585024
643,7278247
644,8973375
645,7821653
646,8585616
647,9084718
648,9260625
649,9869814
650,9226792
651,9403751
652,5960277
653,8861037
654,8252553
655,5222239
656,6127638
